Sex,Pclass,Embarked,Title,FamilySize_Cat,Sex_Pclass,AgeGroup,Deck,FareBin,IsAlone,CabinKnown,Age,Fare,FarePerPerson,FamilySize,TicketGroupSize,Survived
male,3,S,Mr,Small,male_3,Adult,Unknown,Low,0,0,22.0,7.25,3.625,2,1,0.0
female,1,C,Mrs,Small,female_1,Adult,C,VeryHigh,0,1,38.0,71.2833,35.64165,2,2,1.0
female,3,S,Miss,Alone,female_3,Adult,Unknown,Medium,1,0,26.0,7.925,7.925,1,1,1.0
female,1,S,Mrs,Small,female_1,Adult,C,VeryHigh,0,1,35.0,53.1,26.55,2,2,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,35.0,8.05,8.05,1,1,0.0
male,3,Q,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,25.0,8.4583,8.4583,1,1,0.0
male,1,S,Mr,Alone,male_1,Adult,E,VeryHigh,1,1,54.0,51.8625,51.8625,1,2,0.0
male,3,S,Master,Large,male_3,Child,Unknown,High,0,0,2.0,21.075,4.215,5,5,0.0
female,3,S,Mrs,Optimal,female_3,Adult,Unknown,Medium,0,0,27.0,11.1333,3.7111,3,3,1.0
female,2,C,Mrs,Small,female_2,Child,Unknown,High,0,0,14.0,30.0708,15.0354,2,2,1.0
female,3,S,Miss,Optimal,female_3,Child,G,High,0,1,4.0,16.7,5.566666666666666,3,3,1.0
female,1,S,Miss,Alone,female_1,Adult,C,High,1,1,58.0,26.55,26.55,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,20.0,8.05,8.05,1,1,0.0
male,3,S,Mr,Large,male_3,Adult,Unknown,High,0,0,39.0,31.275,4.4678571428571425,7,7,0.0
female,3,S,Miss,Alone,female_3,Child,Unknown,Low,1,0,14.0,7.8542,7.8542,1,1,0.0
female,2,S,Mrs,Alone,female_2,Adult,Unknown,High,1,0,55.0,16.0,16.0,1,1,1.0
male,3,Q,Master,Large,male_3,Child,Unknown,High,0,0,2.0,29.125,4.854166666666667,6,6,0.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,Medium,1,0,29.5,13.0,13.0,1,1,1.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,High,0,0,31.0,18.0,9.0,2,2,0.0
female,3,C,Mrs,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.225,7.225,1,1,1.0
male,2,S,Mr,Alone,male_2,Adult,Unknown,High,1,0,35.0,26.0,26.0,1,2,0.0
male,2,S,Mr,Alone,male_2,Adult,D,Medium,1,1,34.0,13.0,13.0,1,1,1.0
female,3,Q,Miss,Alone,female_3,Child,Unknown,Medium,1,0,15.0,8.0292,8.0292,1,1,1.0
male,1,S,Mr,Alone,male_1,Adult,A,VeryHigh,1,1,28.0,35.5,35.5,1,1,1.0
female,3,S,Miss,Large,female_3,Child,Unknown,High,0,0,8.0,21.075,4.215,5,5,0.0
female,3,S,Mrs,Large,female_3,Adult,Unknown,VeryHigh,0,0,38.0,31.3875,4.483928571428572,7,7,1.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.225,7.225,1,1,0.0
male,1,S,Mr,Large,male_1,Adult,C,VeryHigh,0,1,19.0,263.0,43.833333333333336,6,6,0.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.8792,7.8792,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.8958,7.8958,1,1,0.0
male,1,C,Rare,Alone,male_1,Adult,Unknown,High,1,0,40.0,27.7208,27.7208,1,1,0.0
female,1,C,Mrs,Small,female_1,Adult,B,VeryHigh,0,1,36.0,146.5208,73.2604,2,3,1.0
female,3,Q,Miss,Alone,female_3,Adult,Unknown,Low,1,0,22.0,7.75,7.75,1,1,1.0
male,2,S,Mr,Alone,male_2,Elderly,Unknown,Medium,1,0,66.0,10.5,10.5,1,1,0.0
male,1,C,Mr,Small,male_1,Adult,Unknown,VeryHigh,0,0,28.0,82.1708,41.0854,2,2,0.0
male,1,S,Mr,Small,male_1,Adult,Unknown,VeryHigh,0,0,42.0,52.0,26.0,2,2,0.0
male,3,C,Mr,Alone,male_3,Adult,Unknown,Low,1,0,25.0,7.2292,7.2292,1,1,1.0
male,3,S,Mr,Alone,male_3,Adult,Unknown,Medium,1,0,21.0,8.05,8.05,1,1,0.0
female,3,S,Miss,Optimal,female_3,Adult,Unknown,High,0,0,18.0,18.0,6.0,3,2,0.0
female,3,C,Miss,Small,female_3,Child,Unknown,Medium,0,0,14.0,11.2417,5.62085,2,2,1.0
female,3,S,Mrs,Small,female_3,Adult,Unknown,Medium,0,0,40.0,9.475,4.7375,2,1,0.0
